x, y, z
26201.40,3038.68,69.49
26234.76,3042.79,280.19
26210.14,3019.40,1.03
26219.69,3052.25,34.72
26211.29,3034.17,13.50
26223.06,3034.66,133.03
26212.39,3030.59,21.12
26223.46,3025.96,-18.95
26219.51,3025.11,75.87
26219.36,3053.71,51.72
26222.82,3036.43,81.98
26218.26,3047.67,70.13
26226.10,3025.00,-56.30
26198.97,3016.79,22.12
26190.23,3035.99,63.41
26223.48,3028.33,86.85
26210.76,3062.36,-29.48
26233.16,3032.86,164.96
26227.91,3039.89,29.27
26233.58,3031.30,51.70
26196.15,3055.08,147.42
26187.26,3047.26,36.38
26208.84,3052.81,82.97
26225.89,3022.66,-9.26
26216.01,3028.75,40.15
26235.87,3033.11,-28.85
26233.68,3030.02,63.64
26223.08,3035.07,1.98
26236.38,3027.39,43.82
26217.66,3047.58,49.27
26220.18,3037.62,66.81
26206.47,3027.73,95.70
26251.71,3007.54,-17.24
26226.98,3031.03,63.21
26229.08,3030.89,71.72
26220.63,3051.16,-153.71
26219.30,3032.74,44.69
26201.56,3004.08,89.70
26219.70,3041.94,76.75
26228.43,3043.71,88.27
26206.52,3037.68,109.89
26222.09,3031.38,-21.95
26212.58,3025.67,54.39
26209.35,3027.19,66.79
26254.11,3019.12,94.30
26228.16,3013.51,32.68
26255.18,3019.75,15.08
26235.41,3020.06,-152.52
26246.51,3019.24,54.33
26223.11,3024.37,-81.73
26215.97,3027.29,180.95
26238.68,3016.32,135.69
26218.88,3022.56,83.56
26261.32,3028.58,68.83
26216.69,3039.26,63.53
26229.70,3022.73,84.99
26212.52,2999.50,181.82
26227.55,3023.43,88.93
26226.58,3036.90,48.42
26236.84,3019.73,79.29
26223.53,3040.99,151.64
26274.42,3032.21,57.51
26247.59,3040.18,55.21
26262.01,3024.71,90.41
26245.23,3029.62,54.50
26261.67,3043.39,71.10
26187.87,3038.39,42.99
26194.03,3030.14,128.67
26237.05,3022.06,61.58
26235.19,3021.98,59.73
26213.92,3028.41,111.29
26219.94,3042.91,42.48
26223.86,3032.88,59.37
26209.54,3068.23,80.98
26231.42,3023.94,50.86
26234.36,3031.84,81.63
26233.65,3026.02,64.19
26236.59,3033.47,53.25
26226.81,3031.84,29.45
26229.11,3029.34,49.99
26230.96,3028.20,76.94
26221.01,3027.42,1.80
26239.66,3012.22,60.06
26210.38,3042.01,2.92
26230.20,3028.97,33.35
26214.62,3041.83,45.16
26213.85,3059.22,33.20
26225.91,3022.31,76.30
26210.21,3043.38,72.47
26236.30,3035.61,63.01
26190.00,3038.38,-23.84
26230.76,3051.42,-95.46
26214.78,3064.98,44.54
26215.46,3030.55,4.65
26232.29,3023.44,155.69
26256.70,3014.64,46.51
26236.55,3006.39,59.27
26259.04,3039.75,83.82
26212.09,3035.51,94.23
26220.19,3027.24,94.02
26249.92,3021.54,79.13
26233.26,3039.74,39.40
26230.86,3024.78,198.00
26178.21,3033.49,8.54
26241.10,3034.57,50.66
26203.78,3043.90,-59.45
26205.84,3061.88,69.59
26240.07,3058.85,44.72
26224.80,3035.75,34.11
26217.71,3033.34,68.84
26218.07,3059.55,51.77
26231.96,3052.61,69.99
26213.37,3042.14,81.86
26185.91,3032.94,103.26
26214.47,3031.30,19.29
26203.85,3062.88,29.80
26215.29,3039.46,69.26
26200.91,3041.28,42.41
26214.12,3072.78,91.98
26203.08,3053.61,162.11
26210.13,3044.54,61.46
26213.02,3036.27,61.79
26232.34,3037.82,47.21
26219.19,3036.38,68.63
26214.73,3064.73,153.99
26218.16,3050.77,80.35
26225.64,3026.69,78.06
26224.55,3030.21,31.77
26228.91,3044.01,50.05
26231.79,3017.47,78.26
26228.29,3034.57,121.54
26210.72,3053.91,-56.58
26206.31,3055.51,47.32
26220.62,3027.37,-102.37
26190.83,3030.08,82.68
26232.65,3042.17,61.87
26198.14,3054.70,-59.50
26218.39,3044.09,54.94
26215.69,3038.95,-35.25
26214.28,3039.62,122.47
26203.69,3061.34,51.87
26208.67,3031.01,-60.26
26207.45,3040.11,41.94
26214.54,3030.82,22.12
