x, y, z
26884.11,4715.21,-46.76
27689.62,3065.06,-111.33
26474.45,2786.12,-31.90
26332.71,3043.11,43.80
27791.09,4332.15,-122.26
27941.98,4066.73,-111.86
26853.04,2771.83,158.59
26060.40,3115.69,242.66
26055.64,3096.65,148.32
26219.34,4365.61,242.33
27265.53,3280.35,-185.44
27185.85,4708.71,-125.89
27967.16,3707.58,44.70
26963.92,4156.49,53.82
26576.51,4539.85,46.39
26894.14,2836.96,57.94
26701.12,4576.16,225.59
26834.76,2670.00,-33.44
26186.61,3929.14,63.09
28013.52,3773.53,217.43
27198.82,4654.33,52.22
27189.60,4657.94,-120.30
26694.40,4565.40,7.32
26693.03,4649.43,-117.35
27830.02,4371.16,79.83
26670.25,2632.24,-154.35
26361.71,4590.03,86.86
26709.19,2621.50,7.44
26717.54,2647.43,-17.14
27748.17,4373.05,13.85
27058.74,2724.69,14.17
26884.06,2818.68,55.17
26782.52,2709.06,96.05
26896.70,2806.19,56.36
26899.43,2789.55,83.68
26891.32,2792.41,134.11
26422.32,2914.22,29.77
26437.37,2873.42,87.91
26438.86,2866.18,73.62
26432.88,2888.22,141.06
26888.34,2767.08,21.43
26931.69,2768.47,0.25
27732.93,4464.10,242.68
26018.47,3271.88,212.10
26837.69,2763.36,67.56
27756.63,3472.90,-108.15
26849.48,2751.09,20.01
26268.56,2999.16,104.12
26281.13,3020.35,45.26
27131.42,2781.15,49.59
27113.56,2820.15,197.43
26039.23,3224.65,-45.65
27052.60,2713.61,65.23
27811.40,4368.67,-162.59
26687.26,2920.91,263.74
26564.19,4517.09,-136.03
26560.14,4574.21,-77.76
26712.38,4580.16,-4.17
26660.66,4560.92,-227.82
26710.44,2773.04,31.38
27757.10,3385.69,-127.24
27926.67,3970.46,-134.68
27785.35,3358.43,-58.67
26287.12,3014.03,250.03
27907.40,3811.88,-156.61
27707.85,3043.98,-152.19
26572.11,2792.68,93.61
26633.65,2817.82,50.69
26552.86,4464.27,32.78
27116.33,2785.17,68.77
26596.53,4436.05,-18.14
27859.95,4344.02,-51.73
27021.08,2739.66,55.74
27718.86,4392.78,43.26
27471.82,2898.54,73.11
26497.03,2795.87,19.13
28012.65,3727.98,264.72
26664.75,2784.15,31.55
26894.45,4663.83,27.78
26878.61,2565.05,-47.62
26953.19,2581.41,67.37
26934.36,2592.15,184.96
26542.38,4498.61,117.76
26484.47,4550.37,-258.11
27971.51,3939.07,184.84
26201.38,3970.76,213.44
26662.83,4447.85,415.26
26390.47,4461.14,77.54
26366.72,4371.91,-36.90
26325.54,4404.61,-61.50
